date;price
01/01/2011;00.03
02/01/2011;00.03
03/01/2011;0,204861111
04/01/2011;0,207638889
05/01/2011;0,207638889
06/01/2011;0,206944444
07/01/2011;00.32
08/01/2011;2,242361111
09/01/2011;0,224305556
10/01/2011;2,268055556
11/01/2011;2,268055556
12/01/2011;2,213888889
13/01/2011;2,205555556
14/01/2011;00.04
15/01/2011;0,268055556
16/01/2011;2,686111111
17/01/2011;2,427083333
18/01/2011;0,217361111
19/01/2011;0,217361111
20/01/2011;00.39
21/01/2011;2,915972222
22/01/2011;3,085416667
23/01/2011;3,072222222
24/01/2011;2,915972222
25/01/2011;00.41
26/01/2011;0,289583333
27/01/2011;2,925
28/01/2011;0,309722222
29/01/2011;0,304861111
30/01/2011;3,332638889
31/01/2011;00.52
01/02/2011;00.07
02/02/2011;0,497222222
03/02/2011;0,047916667
04/02/2011;0,563194444
05/02/2011;0,063888889
06/02/2011;6,247916667
07/02/2011;0,061805556
08/02/2011;0,6375
09/02/2011;01.09
10/02/2011;6,807638889
11/02/2011;01.07
12/02/2011;10.799
13/02/2011;01.05
14/02/2011;01.07
15/02/2011;01.05
16/02/2011;1.045
17/02/2011;01.04
18/02/2011;6,242361111
19/02/2011;0,659027778
20/02/2011;0,059027778
21/02/2011;5,795138889
22/02/2011;6,043055556
23/02/2011;00.09
24/02/2011;6,926388889
25/02/2011;6,327083333
26/02/2011;0,665277778
27/02/2011;0,061805556
28/02/2011;0,059722222
01/03/2011;6,390277778
02/03/2011;6,527083333
03/03/2011;6,521527778
04/03/2011;0,625694444
05/03/2011;6,321527778
06/03/2011;6,249305556
07/03/2011;0,614583333
08/03/2011;0,060416667
09/03/2011;6,003472222
10/03/2011;6,478472222
11/03/2011;0,061111111
12/03/2011;0,6375
13/03/2011;6,197916667
14/03/2011;6,214583333
15/03/2011;0,060416667
16/03/2011;0,059722222
17/03/2011;5,731944444
18/03/2011;5,670138889
19/03/2011;0,53125
20/03/2011;5,146527778
21/03/2011;0,527083333
22/03/2011;0,561805556
23/03/2011;5,900694444
24/03/2011;6,020138889
25/03/2011;6,1375
26/03/2011;5,938888889
27/03/2011;0,056944444
28/03/2011;0,554861111
29/03/2011;5,503472222
30/03/2011;5,484027778
31/03/2011;5,448611111
01/04/2011;5,375694444
02/04/2011;0,543055556
03/04/2011;0,540972222
04/04/2011;0,047222222
05/04/2011;0,049305556
06/04/2011;0,051388889
07/04/2011;5,234722222
08/04/2011;0,052083333
09/04/2011;0,050694444
10/04/2011;5,117361111
11/04/2011;0,053472222
12/04/2011;0,059722222
13/04/2011;6,40625
14/04/2011;01.00
15/04/2011;6,874305556
16/04/2011;10.499
17/04/2011;11.123
18/04/2011;1.162
19/04/2011;11.979
20/04/2011;11.421
21/04/2011;01.21
22/04/2011;1.409
23/04/2011;17.001
24/04/2011;16.301
25/04/2011;1.559
26/04/2011;17.949
27/04/2011;01.09
28/04/2011;22.106
29/04/2011;0,144444444
30/04/2011;03.05
01/05/2011;30.331
02/05/2011;03.02
03/05/2011;03.41
04/05/2011;34.061
05/05/2011;3.333
06/05/2011;03.45
07/05/2011;3.641
08/05/2011;38.659
09/05/2011;03.08
10/05/2011;0,264583333
11/05/2011;05.05
12/05/2011;63.002
13/05/2011;8.198
14/05/2011;71.977
15/05/2011;6.987
16/05/2011;80.339
17/05/2011;07.19
18/05/2011;0,311111111
19/05/2011;6.805
20/05/2011;55.904
21/05/2011;61.197
22/05/2011;66.901
23/05/2011;71.499
24/05/2011;07.42
25/05/2011;83.997
26/05/2011;8.798
27/05/2011;85.002
28/05/2011;83.001
29/05/2011;84.299
30/05/2011;08.08
31/05/2011;8.741
01/06/2011;09.57
02/06/2011;10.06
03/06/2011;14.29
04/06/2011;0,811805556
05/06/2011;16.07
06/06/2011;185.499
07/06/2011;239.234
08/06/2011;29.06.00
09/06/2011;28.919
10/06/2011;239.497
11/06/2011;146.511
12/06/2011;185.464
13/06/2011;0,85
14/06/2011;19.28
15/06/2011;19.49
16/06/2011;17.00
17/06/2011;15.681
18/06/2011;0,728472222
19/06/2011;17.51
20/06/2011;17.51
21/06/2011;17.51
22/06/2011;17.51
23/06/2011;17.51
24/06/2011;17.51
25/06/2011;17.51
26/06/2011;16.45
27/06/2011;0,71875
28/06/2011;169.498
29/06/2011;16.845
30/06/2011;16.101
01/07/2011;15.397
02/07/2011;15.04
03/07/2011;154.405
04/07/2011;0,601388889
05/07/2011;129.069
06/07/2011;147.835
07/07/2011;147.761
08/07/2011;14.314
09/07/2011;14.38
10/07/2011;14.09
11/07/2011;142.091
12/07/2011;140.094
13/07/2011;13.951
14/07/2011;0,610416667
